label	is_feature
does_croak	1
does_cross	1
does_cross_a_river	1
does_crow	1
does_cure	1
does_cure_headache	1
does_curl_up	1
does_cut	1
does_cut_chop_wood	1
does_cut_crops	1
does_cut_down_trees	1
does_cut_flesh	1
does_cut_food	1
does_cut_grass	1
does_damage	1
does_decrease_in_size_when_cooked	1
does_destroy	1
does_detailed_work	1
does_detect_light	1
does_detect_sounds	1
does_die_after_stinging	1
does_dig	1
does_display	1
does_display_images	1
does_dive	1
does_dive_underwater	1
does_divide	1
does_drain	1
does_drain_water	1
does_draw_lines	1
does_draw_up_liquid	1
does_drill	1
does_drink	1
does_drink_milk	1
does_drive_is_driven	1
does_dry_people	1
does_eat	1
does_eat_anything	1
does_eat_aphids	1
does_eat_bananas	1
does_eat_bread	1
does_eat_carrion	1
does_eat_carrots	1
does_eat_cheese	1
does_eat_chickens	1
does_eat_chips	1
does_eat_clothes	1
does_eat_corn	1
does_eat_crops	1
does_eat_fish	1
does_eat_flies	1
does_eat_from_trees	1
does_eat_fruit	1
does_eat_grass	1
does_eat_insects	1
does_eat_krill	1
does_eat_leaves	1
does_eat_nectar	1
does_eat_nuts	1
does_eat_plankton	1
does_eat_plants	1
does_eat_rabbits	1
does_eat_rodents_mice	1
does_eat_seeds	1
does_eat_small_animals	1
does_eat_wood	1
does_eat_worms	1
does_eject_liquid	1
does_enlarge	1
does_enlarge_images	1
does_explode	1
does_face_the_sun	1
does_fail	1
does_fasten	1
does_feed_babies	1
does_filter_feed	1
does_fire	1
does_fire_arrows	1
does_fire_bolts	1
does_fire_bullets	1
does_flap_its_wings_fast	1
does_flatten	1
does_flatten_pastry	1
does_flavour	1
does_fling_over_long_distances	1
does_flip_things	1
does_float	1
does_flush	1
does_flutter	1
does_fly	1
does_fly_high	1
does_fly_in_the_sky	1
does_fold	1
does_frolic	1
does_gallop	1
does_give_choice	1
does_glide	1
does_gnaw	1
does_go_anywhere	1
does_go_in_a_shoe	1
does_go_into_space	1
does_go_off	1
does_go_on_roads	1
does_go_through_red_lights	1
does_go_to_hospital	1
does_go_up_and_down	1
does_go_with_chairs	1
does_go_with_knives	1
does_go_with_saucer	1
does_gobble	1
does_grate	1
does_grate_cheese	1
does_grip	1
does_grow	1
does_grow_close_to_the_ground	1
does_grow_from_a_bulb	1
does_grow_from_caterpillars	1
does_grow_in_ground	1
does_grow_in_hot_countries	1
does_grow_on_bushes	1
does_grow_on_plants	1
does_grow_on_trees	1
does_grow_on_vines	1
does_grow_underground	1
does_growl	1
does_guide_larger_boats	1
does_hang	1
does_hang_from_ceilings	1
does_hang_from_something	1
does_hang_upside_down	1
does_heat	1
does_heat_water	1
does_help_balance	1
does_help_people_speak	1
does_hibernate	1
does_hiss	1
does_hit	1
does_hit_balls	1
does_hit_nails	1
does_hit_people	1
does_hold_ash	1
does_hold_books	1
does_hold_contain_liquid_water	1
does_hold_drinks	1
does_hold_food	1
does_hold_tea	1
does_hold_things_in_place	1
does_hold_things_together	1
does_hoot	1
does_hop	1
does_house_people	1
does_hover	1
does_howl	1
does_howl_at_the_moon	1
does_huddle	1
does_hum	1
does_hunt	1
does_hunt_in_packs	1
does_hurt	1
does_hurt_people	1
does_infuse	1
does_inject	1
does_invert_in_wind	1
does_jingle	1
does_jump	1
does_jump_long_distances	1
does_keep_a_ship_in_position	1
does_keep_clean	1
does_keep_dry	1
does_keep_ears_warm	1
does_keep_feet_warm	1
does_keep_food_cool	1
does_keep_food_fresh	1
does_keep_hands_warm	1
does_keep_legs_warm	1
does_keep_the_water_out	1
does_keep_things_out	1
does_keep_warm	1
does_kick	1
does_kill	1
does_kill_animals	1
does_kill_antelope	1
does_kill_bacteria	1
does_kill_people	1
does_kiss	1
does_laugh	1
does_lay_eggs	1
does_lay_eggs_on_beach	1
does_lay_spawn	1
does_leave_a_trail	1
does_let_in_light	1
does_lift	1
does_light_a_room	1
does_like_blood	1
does_like_flowers	1
does_like_honey	1
does_like_milk	1
does_like_moisture	1
does_like_mud	1
does_like_shiny_objects	1
does_liquidise	1
does_live_a_long_time	1
does_live_by_water	1
does_live_in_Antarctica	1
does_live_in_a_bowl	1
does_live_in_a_hive	1
does_live_in_a_hutch	1
does_live_in_a_mound	1
does_live_in_a_stable	1
does_live_in_barns	1
does_live_in_caves	1
does_live_in_colonies	1
does_live_in_groups	1
does_live_in_herds	1
does_live_in_hot_countries	1
does_live_in_jungles	1
does_live_in_rivers	1
does_live_in_sewers	1
does_live_in_shoals	1
does_live_in_sties	1
does_live_in_trees	1
does_live_in_warrens	1
does_live_in_water	1
does_live_on_land	1
does_lock	1
does_look_like_a_stick	1
does_loosen	1
does_loosen_bolts	1
does_make_a_crashing_sound	1
does_make_a_knocking_sound	1
does_make_bread	1
does_make_butter	1
does_make_coffee	1
does_make_dandelion_clocks	1
does_make_drinks	1
does_make_guacomole	1
does_make_holes	1
does_make_honey	1
does_make_music	1
does_make_people_cry	1
does_make_people_happy	1
does_make_pretty	1
does_make_raisins	1
does_make_sound_a_noise	1
does_make_statues	1
does_make_tea	1
does_make_walls	1
does_make_wine	1
does_make_you_drunk	1
does_measure	1
does_measure_distance_length	1
does_measure_ingredients	1
does_measure_temperature	1
does_melt	1
does_meow	1
does_mix_cake_mixture	1
does_mix_ingredients	1
does_moo	1
does_move	1
does_move_back_and_forth	1
does_move_earth	1
does_move_loads	1
does_move_slowly	1
does_need_a_player	1
does_need_sharpening	1
does_need_the_wind	1
does_need_water	1
does_neigh	1
does_nest	1
does_not_fly	1
does_not_forget	1
does_not_like_salt	1
does_not_need_water	1
does_oink	1
does_open	1
does_open_and_close	1
does_open_cans	1
does_open_doors	1
does_open_locks	1
does_peck	1
does_peck_trees	1
does_peel	1
does_peel_fruit	1
does_peel_vegetables	1
does_photosynthesise	1
does_pick_up	1
does_pick_up_hot_things	1
does_pierce	1
does_pin_on_a_wall	1
does_play	1
does_play_music	1
does_play_notes	1
does_play_sound	1
does_plough	1
does_pluck	1
does_point	1
does_pollinate	1
does_pollute	1
does_pour	1
does_print	1
does_produce_milk	1
does_produce_smoke	1
does_produce_steam	1
does_project	1
does_project_images	1
does_protect	1
does_protect_clothes	1
does_protect_eyes	1
does_protect_feet	1
does_protect_fingers	1
does_protect_from_needles	1
does_protect_from_spills	1
does_protect_from_sun	1
does_protect_from_the_rain	1
does_protect_from_weather	1
does_protect_hands	1
does_protect_surface	1
does_protect_the_eyes	1
does_protect_the_head	1
does_protect_thumbs	1
does_provide_access	1
does_provide_light	1
does_pull	1
does_pull__boats	1
does_pull_carts	1
does_pull_out_splinters	1
does_pump	1
does_pump_blood	1
does_purr	1
does_quack	1
does_race	1
does_radiate	1
does_radiate_microwaves	1
does_rake	1
does_rattle	1
does_receive_radiowaves	1
does_reduce_inflammation	1
does_reflect_light	1
does_remove	1
does_remove_corks	1
does_remove_hair	1
does_retract_into_its_shell	1
does_revitalise_you	1
does_ribbit	1
does_ride_waves	1
does_ring	1
does_rise	1
does_roar	1
does_rock	1
does_roll	1
does_rotate	1
does_rotate_head	1
does_run	1
does_run_fast	1
does_run_in_wheels	1
does_run_on_tracks	1
does_sail	1
does_save_time	1
does_saw	1
does_scavenge	1
does_scavenge_in_bins	1
does_scoop	1
does_scrape	1
does_screech	1
does_screw	1
does_scuttle_scurry	1
does_set	1
does_shatter	1
does_shelter	1
does_shoot	1
does_show_friendship	1
does_show_that_you_like_butter	1
does_sing	1
does_sink	1
does_slide	1
does_slither	1
does_smell_good_nice	1
does_smell_is_smelly	1
does_sneeze	1
does_soar	1
does_sound_nice	1
does_spin	1
does_spin_webs	1
does_spit	1
does_spray	1
does_spread	1
does_squeak	1
does_squirt_ink	1
does_squirt_water	1
does_stab	1
does_stand	1
does_stand_on_one_leg	1
does_steal	1
does_stick	1
does_stick_out	1
does_sting	1
does_stir	1
does_stop	1
does_stop_bottles	1
does_stop_bullets	1
does_stop_pain	1
does_stop_shoes_rubbing	1
does_stop_swords	1
does_store	1
does_store_alcohol	1
does_store_beer	1
does_store_food	1
does_store_food_in_cheeks	1
does_store_things_for_winter	1
does_strain	1
does_strut	1
does_stunts_tricks	1
does_suck	1
does_suck_blood	1
does_support	1
does_support_breasts	1
does_support_the_body	1
does_support_weight	1
does_swarm	1
does_sweep	1
does_sweeten	1
does_swim	1
does_swim_upstream	1
does_swing	1
does_take_photographs	1
does_taste	1
does_tell_the_time	1
does_thin_blood	1
does_throw	1
does_throw_rocks	1
does_tick	1
does_tidy	1
does_tie	1
does_tie_around_back	1
does_tighten	1
does_tighten_bolts	1
does_toast	1
does_toast_bread	1
does_tow	1
does_translate	1
does_transport_cars	1
does_transport_oil	1
does_trap	1
does_travel	1
does_travel_long_distances	1
does_treat_illness	1
does_treat_infections	1
does_trot	1
does_trumpet	1
does_turn	1
does_twang	1
does_twist	1
does_type	1
does_untangle_hair	1
does_use_echolocation	1
does_use_electricity	1
does_use_fuel_diesel_petrol	1
does_use_gas	1
does_use_water	1
does_vibrate	1
does_waddle	1
does_wag_its_tail	1
does_wake_you_up	1
does_walk	1
does_walk_sideways	1
does_warm	1
does_wash_clothes	1
does_washing_up	1
does_weigh	1
does_whip	1
does_whip_cream	1
does_whisk	1
does_whistle	1
does_work	1
does_wrap_around	1
does_wriggle	1
found_in_bars	1
has_a_baby_seat	1
has_a_back	1
has_a_bag	1
has_a_bag_of_air	1
has_a_balance	1
has_a_ball	1
has_a_barrel	1
has_a_base	1
has_a_basin	1
has_a_basket	1
has_a_battery	1
has_a_beak	1
has_a_beard	1
has_a_beautiful_voice	1
has_a_bed_beds	1
has_a_bedroom	1
has_a_belt	1
has_a_big_beak	1
has_a_big_head	1
has_a_big_horn	1
has_a_big_mouth	1
has_a_big_stone	1
has_a_big_tail	1
has_a_bin_bag	1
has_a_bit	1
has_a_black_centre	1
has_a_blade_blades	1
has_a_blowhole	1
has_a_body	1
has_a_bow	1
has_a_bowl	1
has_a_bowl_end	1
has_a_brown_centre	1
has_a_brush	1
has_a_bubble	1
has_a_bucket	1
has_a_bulb	1
has_a_bushy_tail	1
has_a_cab	1
has_a_cabin_cabins	1
has_a_canal	1
has_a_cap	1
has_a_captain	1
has_a_case	1
has_a_centre	1
has_a_chain	1
has_a_chamber	1
has_a_chest	1
has_a_chin_strap	1
has_a_cistern	1
has_a_clapper	1
has_a_clasp	1
has_a_cloth	1
has_a_cockpit	1
has_a_cocoon	1
has_a_collar	1
has_a_compartment	1
has_a_cone	1
has_a_core	1
has_a_cork	1
has_a_cornea	1
has_a_cover	1
has_a_creature_inside	1
has_a_crew	1
has_a_cross_head	1
has_a_crust	1
has_a_curly_tail	1
has_a_curved_blade	1
has_a_cutter	1
has_a_deck	1
has_a_deep_sound	1
has_a_den	1
has_a_dial	1
has_a_door_doors	1
has_a_drain	1
has_a_drawbridge	1
has_a_drum	1
has_a_duck_bill	1
has_a_duvet	1
has_a_fabric_covering	1
has_a_face	1
has_a_filling	1
